post_id,content,cleaned_text,svm_prediction,svm_sentiment,bert_sentiment
1901498257819283683,"RT @RealJamesWoods: While Democrats bawl like angry toddlers and key Teslas in acts of terrorism, Republicans like @elonmusk take private e…",rt realjameswoods democrats bawl like angry toddlers key teslas acts terrorism republicans like elonmusk take private e,0,negative,1 star
1901484191365091335,"RT @SawyerMerritt: Pepsi Tesla driver: ""I'm not a techy person; Within a half hour I was comfortable. If you know how to use a smartphone t…",rt sawyermerritt pepsi tesla driver im techy person within half hour comfortable know use smartphone,0,negative,5 stars
1901483973668225312,@GuntherEagleman @dbongino Great,gunthereagleman dbongino great,1,positive,5 stars
1901483632994197853,@Pro__Trading @jonfavs Dems hate losing voters. That’s his real issue.,protrading jonfavs dems hate losing voters thats real issue,0,negative,1 star
1901471840402358750,RT @AwakenedOutlaw: Devin gets it. https://t.co/dbmhmhbEFG,rt awakenedoutlaw devin gets,2,neutral,1 star
1901470963591426494,RT @Rothmus: 💯 https://t.co/fFUaZnBYjl,rt rothmus,0,negative,5 stars
1901470670774518086,Yes https://t.co/pazbMIt1dR,yes,2,neutral,5 stars
1901470303756144847,@BasedMikeLee ❤️,basedmikelee,2,neutral,3 stars
1901469809688166486,https://t.co/MAkwXVYBqQ,,2,neutral,Error
1901469431206703402,@amuse Yup,amuse yup,0,negative,3 stars
